,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,League
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,
Lewis Dunk,eng ENG,DF,Brighton,32-273,1991,1,1,75,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,2,0,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08,Matches,Premier League
Jhon Durán,co COL,FW,Aston Villa,20-251,2003,1,0,29,0.3,1,0,1,1,0,0,0,0,0.4,0.4,0.0,0.4,0,0,4,3.10,0.00,3.10,3.10,3.10,1.17,0.00,1.17,1.17,1.17,Matches,Premier League
Ederson,br BRA,GK,Manchester City,31-003,1993,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Premier League
Odsonne Édouard,fr FRA,"FW,MF",Crystal Palace,26-217,1998,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,0,1,1,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.20,0.10,0.20,Matches,Premier League
Samuel Edozie,eng ENG,DF,Southampton,21-205,2003,1,0,45,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,5,4,18,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.00,0.20,Matches,Premier League
Anthony Elanga,se SWE,FW,Nott'ham Forest,22-115,2002,1,1,53,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,3,1,0.00,0.00,0.00,0.00,0.00,0.03,0.13,0.16,0.03,0.16,Matches,Premier League
Jonny Evans,nir NIR,DF,Manchester Utd,36-230,1988,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Premier League
Eberechi Eze,eng ENG,MF,Crystal Palace,26-052,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,7,5,7,0.00,0.00,0.00,0.00,0.00,0.41,0.00,0.41,0.41,0.41,Matches,Premier League
Wout Faes,be BEL,DF,Leicester City,26-139,1998,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Premier League
Abdul Fatawu Issahaku,gh GHA,FW,Leicester City,20-165,2004,1,1,90,1.0,0,1,1,0,0,0,0,0,0.0,0.0,0.5,0.5,5,2,7,0.00,1.00,1.00,0.00,1.00,0.00,0.46,0.46,0.00,0.46,Matches,Premier League
Bruno Fernandes,pt POR,"FW,MF",Manchester Utd,29-347,1994,1,1,90,1.0,0,0,0,0,0,0,0,0,1.2,1.2,0.0,1.2,7,6,7,0.00,0.00,0.00,0.00,0.00,1.19,0.00,1.19,1.19,1.19,Matches,Premier League
Enzo Fernández,ar ARG,MF,Chelsea,23-216,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,4,5,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.22,0.22,0.22,Matches,Premier League
Mark Flekken,nl NED,GK,Brentford,31-068,1993,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Premier League
Phil Foden,eng ENG,FW,Manchester City,24-084,2000,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Premier League
Wesley Fofana,fr FRA,DF,Chelsea,23-247,2000,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches,Premier League
Niclas Füllkrug,de GER,FW,West Ham,31-193,1993,1,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Premier League
